Age,Gender,Married,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
29,Female,Yes,Graduate,27051,33283,143517,0,Semiurban,0
34,Female,Yes,Graduate,31542,30218,119190,0,Urban,1
40,Male,Yes,Graduate,73991,19805,451657,1,Urban,1
38,Female,Yes,Graduate,97134,10849,217985,1,Rural,1
51,Male,Yes,Graduate,43639,28080,84606,0,Urban,1
59,Male,Yes,Graduate,85506,24111,103866,1,Semiurban,1
23,Female,No,Not Graduate,71367,35656,250600,1,Rural,1
37,Female,Yes,Not Graduate,69676,37739,108277,1,Rural,1
47,Female,Yes,Not Graduate,35274,24710,335002,1,Rural,1
45,Female,Yes,Graduate,16460,15521,338814,1,Rural,1
55,Female,No,Graduate,93777,325,311513,1,Semiurban,1
48,Female,Yes,Not Graduate,12293,7948,468073,0,Rural,0
33,Female,Yes,Graduate,22450,31575,427378,0,Rural,0
47,Female,No,Graduate,38550,28412,212848,1,Rural,1
29,Male,Yes,Graduate,74917,24971,291790,0,Urban,1
38,Female,Yes,Not Graduate,63206,27562,220685,1,Semiurban,1
26,Female,Yes,Graduate,75115,1962,70660,0,Rural,1
43,Female,Yes,Graduate,65961,9090,250115,1,Urban,1
25,Male,Yes,Not Graduate,80381,16255,340944,1,Urban,1
54,Male,No,Graduate,57835,34290,53712,1,Semiurban,1
50,Female,No,Graduate,47150,20582,51596,1,Urban,1
50,Female,Yes,Graduate,44382,6586,309736,1,Urban,1
26,Female,No,Graduate,36304,16738,445890,1,Rural,1
41,Female,No,Graduate,11237,35545,330109,1,Semiurban,0
46,Male,Yes,Not Graduate,30725,26619,476956,1,Rural,1
58,Female,Yes,Not Graduate,63501,2010,410429,0,Semiurban,0
46,Female,Yes,Not Graduate,69018,17507,175119,1,Semiurban,1
24,Male,No,Graduate,68131,9751,273262,1,Urban,1
32,Male,Yes,Graduate,15015,13820,323244,1,Rural,1
45,Female,No,Graduate,88028,15321,375807,1,Urban,1
39,Female,No,Not Graduate,87097,3027,160348,0,Urban,1
59,Female,Yes,Graduate,81732,14340,214658,1,Urban,1
45,Female,Yes,Graduate,56812,23890,323597,0,Urban,1
58,Male,Yes,Graduate,60113,2969,367359,0,Semiurban,0
34,Male,Yes,Not Graduate,43434,6445,493455,0,Semiurban,0
50,Female,Yes,Graduate,58396,1149,153024,1,Semiurban,1
45,Male,No,Not Graduate,80337,13415,393867,1,Urban,1
45,Male,Yes,Graduate,55533,26760,222302,1,Urban,1
37,Male,Yes,Graduate,87382,19800,220900,1,Urban,1
48,Male,Yes,Not Graduate,44307,35618,258068,1,Rural,1
37,Male,Yes,Graduate,40239,1188,195817,1,Rural,1
44,Male,No,Graduate,36386,6977,177791,1,Semiurban,1
42,Male,Yes,Graduate,96647,7846,100543,0,Semiurban,1
34,Male,Yes,Graduate,86914,36560,363680,1,Rural,1
54,Female,No,Graduate,89067,8670,50659,1,Semiurban,1
58,Male,No,Graduate,32291,15359,308580,0,Urban,0
51,Male,Yes,Graduate,49447,3953,427072,1,Urban,1
52,Female,Yes,Not Graduate,11504,17346,200600,0,Semiurban,0
54,Female,No,Graduate,44218,11764,263518,1,Urban,1
32,Female,No,Graduate,19453,33552,315989,1,Rural,0
56,Female,Yes,Not Graduate,80775,25840,220999,1,Urban,1
21,Male,No,Graduate,26233,38949,491772,0,Urban,0
30,Male,No,Not Graduate,63752,1997,200794,1,Urban,1
56,Female,Yes,Not Graduate,74219,34124,440105,1,Rural,1
25,Female,Yes,Graduate,83196,28502,65730,1,Rural,1
50,Male,Yes,Graduate,84558,28485,68430,0,Semiurban,1
55,Female,No,Graduate,93713,32877,425752,1,Rural,1
34,Female,No,Graduate,65509,6339,376716,1,Urban,1
38,Female,Yes,Not Graduate,86830,29568,269849,0,Rural,0
24,Female,No,Graduate,97083,10090,368394,1,Urban,1
22,Female,Yes,Graduate,55676,29700,109874,1,Semiurban,1
58,Female,Yes,Graduate,12815,27948,239199,1,Semiurban,1
23,Female,No,Graduate,83308,6156,271283,1,Urban,1
37,Female,No,Graduate,20031,12746,264543,1,Urban,1
47,Male,Yes,Graduate,61497,16642,88778,1,Semiurban,1
47,Female,No,Graduate,74882,9344,427163,0,Semiurban,0
49,Female,Yes,Graduate,16242,37205,469995,1,Rural,1
49,Female,Yes,Graduate,31766,5210,144509,1,Semiurban,1
22,Male,No,Graduate,42119,19443,397717,1,Urban,1
21,Male,Yes,Graduate,71503,2923,134651,1,Urban,1
33,Male,Yes,Graduate,97372,10725,363373,1,Semiurban,1
42,Male,Yes,Graduate,22570,33379,488273,1,Rural,1
58,Male,Yes,Not Graduate,42737,25563,192734,1,Rural,1
49,Female,Yes,Graduate,40892,14768,346735,1,Rural,1
37,Female,Yes,Graduate,62354,18479,80964,1,Semiurban,1
23,Male,No,Graduate,86279,29146,383720,1,Semiurban,1
38,Male,Yes,Graduate,91151,9158,158935,1,Semiurban,1
34,Male,Yes,Not Graduate,12884,27856,58691,0,Urban,0
29,Male,Yes,Graduate,20014,12078,483907,0,Rural,0
21,Female,Yes,Not Graduate,60641,11300,158662,1,Rural,1
38,Female,No,Graduate,71876,29383,363274,1,Semiurban,1
34,Male,Yes,Graduate,42037,10149,206944,0,Semiurban,1
49,Female,No,Not Graduate,51544,13985,160144,1,Urban,1
22,Male,Yes,Graduate,19490,21005,492240,1,Semiurban,1
38,Male,Yes,Graduate,53982,505,476733,1,Rural,1
44,Male,Yes,Not Graduate,92157,35,75088,1,Urban,1
52,Male,Yes,Graduate,60063,3747,226390,1,Rural,1
57,Female,Yes,Not Graduate,38896,20736,476297,1,Rural,1
59,Female,Yes,Not Graduate,85234,1299,339474,1,Urban,1
32,Female,Yes,Not Graduate,57792,31212,360588,1,Semiurban,1
51,Male,No,Not Graduate,23950,15687,212847,1,Urban,1
44,Male,Yes,Graduate,81428,27831,296667,1,Urban,1
54,Male,Yes,Graduate,39640,37686,454436,0,Rural,0
46,Male,Yes,Graduate,64060,33651,65405,1,Rural,1
23,Female,No,Not Graduate,76706,27299,79839,1,Urban,1
21,Female,Yes,Graduate,80672,9279,393644,1,Semiurban,1
27,Female,No,Graduate,70886,10887,109286,0,Urban,1
25,Female,No,Graduate,91503,29545,155809,1,Urban,1
36,Female,No,Graduate,98385,38607,98963,1,Urban,1
36,Female,Yes,Graduate,68549,26167,79539,1,Semiurban,1
25,Female,No,Graduate,61176,7622,85492,1,Semiurban,1
46,Male,Yes,Graduate,48649,15300,292450,1,Semiurban,1
35,Female,No,Graduate,75100,5431,487218,1,Rural,1
21,Male,Yes,Not Graduate,74786,18020,331425,1,Urban,1
40,Male,Yes,Not Graduate,67730,3621,200855,1,Rural,1
34,Male,Yes,Graduate,85483,13822,76490,0,Rural,1
57,Male,Yes,Graduate,98836,4366,219159,0,Urban,1
28,Male,No,Graduate,57024,9684,237498,1,Rural,1
29,Male,Yes,Not Graduate,38155,38609,131440,1,Urban,1
43,Female,Yes,Graduate,21485,33754,109523,1,Rural,1
55,Male,Yes,Graduate,95016,26919,396801,1,Rural,1
53,Male,Yes,Not Graduate,95846,20684,423966,1,Rural,1
26,Male,Yes,Graduate,45762,33675,283560,1,Rural,1
52,Female,Yes,Not Graduate,85242,1410,283118,1,Rural,1
30,Male,Yes,Graduate,63005,23490,77599,1,Urban,1
37,Female,Yes,Not Graduate,37291,4518,174447,1,Urban,1
52,Male,Yes,Graduate,96279,16409,383800,1,Rural,1
54,Male,Yes,Not Graduate,71731,26979,160110,0,Urban,1
50,Male,Yes,Not Graduate,69999,32855,352091,1,Semiurban,1
29,Female,Yes,Not Graduate,57732,24286,261060,0,Urban,0
50,Female,Yes,Graduate,52460,24985,279874,1,Semiurban,1
38,Female,Yes,Not Graduate,77929,17414,95683,1,Urban,1
33,Male,Yes,Not Graduate,84146,12841,207919,1,Semiurban,1
32,Male,No,Graduate,80524,14418,218820,0,Rural,1
44,Male,No,Not Graduate,11395,12478,387284,1,Urban,0
31,Female,Yes,Not Graduate,82585,13402,111763,1,Rural,1
36,Female,Yes,Graduate,42153,37927,159843,1,Semiurban,1
30,Female,Yes,Graduate,32980,8670,182509,1,Semiurban,1
45,Male,Yes,Graduate,83054,34307,454870,1,Semiurban,1
44,Male,Yes,Graduate,36866,31430,63451,1,Semiurban,1
48,Male,Yes,Not Graduate,40514,29388,203570,1,Semiurban,1
58,Male,Yes,Graduate,31172,30782,94661,1,Rural,1
25,Male,Yes,Graduate,23323,3136,165021,1,Semiurban,1
35,Male,Yes,Graduate,19429,28583,153437,1,Semiurban,1
53,Male,Yes,Graduate,64149,909,217787,1,Urban,1
30,Male,Yes,Graduate,26167,35485,439041,1,Rural,1
29,Male,No,Not Graduate,77814,17988,381319,1,Rural,1
32,Female,Yes,Graduate,13502,4267,204096,1,Rural,1
25,Female,Yes,Graduate,33114,14579,65567,0,Urban,1
42,Female,Yes,Graduate,38917,2152,138799,1,Urban,1
39,Female,Yes,Graduate,50006,16507,333537,1,Rural,1
38,Female,Yes,Not Graduate,47599,18482,231260,1,Rural,1
50,Female,Yes,Graduate,75752,32980,216560,1,Rural,1
46,Male,Yes,Graduate,38841,39390,245489,1,Urban,1
56,Male,No,Graduate,86632,23642,322829,1,Rural,1
39,Male,Yes,Not Graduate,46796,12386,283783,1,Rural,1
43,Male,Yes,Graduate,40939,26574,357020,1,Urban,1
25,Female,Yes,Graduate,84303,21150,324733,1,Urban,1
50,Female,No,Graduate,44568,29285,77180,1,Urban,1
26,Male,Yes,Graduate,28039,20521,315674,1,Semiurban,1
35,Female,Yes,Graduate,69392,11861,195943,1,Urban,1
47,Female,Yes,Graduate,80779,31926,185691,0,Urban,1
40,Female,Yes,Not Graduate,43963,36906,139950,1,Urban,1
35,Female,Yes,Graduate,10399,23724,111391,1,Semiurban,1
40,Male,No,Graduate,36255,12395,444572,1,Rural,1
56,Male,Yes,Graduate,68420,3961,52933,0,Semiurban,1
49,Female,Yes,Not Graduate,54874,33231,471995,0,Semiurban,0
57,Male,Yes,Graduate,50508,13604,119158,1,Urban,1
58,Female,No,Not Graduate,53394,2283,438766,1,Semiurban,1
53,Female,Yes,Graduate,76755,11811,490134,0,Semiurban,0
34,Female,Yes,Graduate,73691,21918,322669,0,Urban,1
36,Female,Yes,Graduate,48203,3379,279562,1,Urban,1
58,Female,Yes,Graduate,71307,12148,193733,1,Urban,1
50,Female,No,Not Graduate,85560,10094,181514,1,Urban,1
31,Female,Yes,Graduate,51557,5126,437457,0,Semiurban,0
43,Male,Yes,Graduate,20471,16297,303968,0,Rural,0
37,Male,Yes,Not Graduate,57613,13299,249269,1,Urban,1
43,Male,Yes,Graduate,62386,23628,144709,1,Urban,1
41,Male,No,Graduate,31903,36515,324635,0,Rural,0
31,Male,Yes,Not Graduate,57570,19890,116642,0,Rural,1
58,Male,Yes,Not Graduate,74651,33721,339586,0,Semiurban,0
27,Female,No,Not Graduate,86256,27670,251606,1,Semiurban,1
36,Male,No,Graduate,81709,5970,293695,1,Semiurban,1
46,Male,Yes,Graduate,71828,32460,481154,1,Urban,1
37,Female,Yes,Graduate,24709,22635,157609,1,Semiurban,1
55,Female,Yes,Graduate,51338,3319,281325,0,Rural,0
29,Female,Yes,Graduate,78725,21858,435543,1,Semiurban,1
41,Male,No,Graduate,53317,4791,428303,1,Rural,1
46,Male,Yes,Graduate,71150,36684,462674,1,Semiurban,1
57,Male,Yes,Graduate,46819,19989,119006,1,Semiurban,1
28,Male,No,Graduate,57588,15744,467185,1,Urban,1
51,Male,Yes,Graduate,83439,39280,493245,1,Rural,1
52,Male,No,Not Graduate,60675,17550,493380,1,Semiurban,1
45,Female,Yes,Not Graduate,53754,10451,274561,0,Rural,0
59,Female,Yes,Not Graduate,59217,21534,399089,1,Rural,1
35,Female,No,Not Graduate,68297,16307,113565,1,Urban,1
21,Female,No,Graduate,71886,26176,345441,1,Semiurban,1
24,Male,Yes,Graduate,91916,5391,441360,1,Semiurban,1
35,Female,Yes,Graduate,58289,19739,164926,0,Semiurban,1
25,Female,Yes,Graduate,59852,21792,286762,1,Urban,1
25,Male,Yes,Graduate,29495,2315,475964,1,Rural,1
57,Female,Yes,Graduate,32968,37793,192991,1,Semiurban,1
26,Male,Yes,Graduate,74549,18133,264185,1,Urban,1
50,Male,No,Not Graduate,79941,7117,225017,0,Semiurban,0
43,Male,Yes,Graduate,59705,13534,388422,1,Semiurban,1
26,Female,Yes,Graduate,25310,29159,57259,1,Rural,1
33,Male,Yes,Graduate,51980,21726,281074,1,Rural,1
26,Male,Yes,Graduate,29506,1830,89091,1,Semiurban,1
50,Female,Yes,Graduate,32140,7418,453107,1,Urban,1
23,Male,No,Graduate,86723,5342,235881,1,Rural,1
46,Male,Yes,Graduate,61481,29967,306475,0,Urban,1
53,Male,No,Graduate,43747,29360,459207,1,Rural,1
56,Male,No,Not Graduate,68385,21092,324718,1,Rural,1
32,Male,Yes,Graduate,54311,22235,298207,1,Semiurban,1
36,Female,Yes,Graduate,43460,28554,109913,1,Semiurban,1
25,Male,Yes,Graduate,28900,22549,95444,1,Urban,1
27,Female,Yes,Graduate,62749,10815,298856,1,Semiurban,1
39,Male,Yes,Not Graduate,86719,31002,113460,1,Semiurban,1
37,Male,Yes,Graduate,31846,21260,74062,1,Semiurban,1
53,Female,No,Not Graduate,61718,4627,268983,0,Rural,0
32,Male,Yes,Graduate,95361,4171,144081,0,Rural,1
29,Male,No,Graduate,91801,37084,366104,1,Rural,1
33,Male,Yes,Not Graduate,42424,24687,470880,1,Semiurban,1
35,Male,Yes,Graduate,30843,6306,236503,1,Urban,1
59,Male,No,Graduate,50625,9684,393722,1,Rural,1
57,Female,No,Graduate,70117,18330,298581,1,Urban,1
42,Male,Yes,Graduate,21055,37074,285535,1,Rural,1
26,Female,No,Graduate,10983,21257,437690,1,Rural,0
23,Male,Yes,Graduate,22950,13256,367037,1,Urban,1
37,Male,Yes,Not Graduate,81877,5724,323911,1,Rural,1
54,Male,Yes,Graduate,33601,15180,422865,1,Semiurban,1
23,Male,Yes,Not Graduate,15827,29876,66630,1,Urban,1
39,Female,Yes,Graduate,76427,7601,297279,1,Semiurban,1
45,Male,Yes,Graduate,97489,31064,214366,1,Semiurban,1
23,Male,No,Graduate,82716,1689,275578,1,Rural,1
50,Female,Yes,Graduate,72818,5274,452345,0,Urban,1
32,Male,No,Graduate,18654,13707,204686,1,Urban,1
31,Female,No,Graduate,98480,35518,324305,1,Rural,1
59,Male,Yes,Graduate,58072,1561,363508,1,Urban,1
22,Female,Yes,Graduate,59877,17426,442986,0,Semiurban,0
57,Female,Yes,Graduate,24977,27246,410084,0,Urban,0
35,Male,Yes,Graduate,68463,12864,50165,1,Semiurban,1
29,Female,Yes,Graduate,42102,16291,420740,1,Semiurban,1
49,Female,Yes,Not Graduate,73977,39386,274102,1,Rural,1
21,Female,No,Graduate,50792,32168,371066,1,Rural,1
46,Male,Yes,Graduate,99141,8822,324149,1,Rural,1
26,Female,No,Not Graduate,21915,9887,172220,1,Rural,1
37,Female,Yes,Not Graduate,32691,12269,182288,1,Urban,1
52,Male,Yes,Graduate,10608,26479,270716,1,Semiurban,1
26,Male,Yes,Not Graduate,28703,35266,466473,0,Rural,0
41,Male,No,Graduate,23283,18244,453825,1,Urban,1
57,Male,No,Graduate,21717,28513,295017,1,Semiurban,0
51,Female,Yes,Not Graduate,40510,7555,351836,1,Semiurban,1
48,Male,Yes,Not Graduate,80051,27701,251511,0,Urban,0
35,Male,Yes,Graduate,43926,38249,55466,1,Rural,1
30,Female,Yes,Not Graduate,37266,3661,439324,0,Urban,0
48,Female,Yes,Not Graduate,12682,39266,396474,1,Rural,0
24,Female,No,Graduate,62266,7263,462285,1,Rural,1
36,Male,Yes,Graduate,52646,28594,282181,0,Urban,1
32,Female,No,Graduate,29996,18755,72817,1,Urban,1
25,Female,Yes,Graduate,44209,18619,355327,1,Rural,1
44,Female,Yes,Graduate,38896,27502,433605,1,Semiurban,1
25,Female,No,Graduate,71013,22638,345631,1,Urban,1
30,Female,Yes,Graduate,72540,23385,432289,0,Rural,0
51,Female,Yes,Graduate,45583,31256,352044,1,Urban,1
49,Male,Yes,Graduate,11290,33775,134978,1,Urban,1
37,Male,Yes,Not Graduate,76658,8514,103918,1,Semiurban,1
22,Female,No,Graduate,91998,2506,341006,0,Urban,0
58,Male,Yes,Graduate,37739,20620,402530,1,Rural,1
36,Female,Yes,Not Graduate,60759,19133,55644,1,Urban,1
57,Female,Yes,Graduate,85632,33768,475297,1,Urban,1
52,Female,No,Graduate,15244,10898,144317,1,Urban,1
52,Male,No,Graduate,74057,24266,150978,1,Semiurban,1
30,Male,Yes,Graduate,46300,14983,150793,1,Semiurban,1
33,Female,Yes,Not Graduate,82319,36796,482366,0,Semiurban,0
55,Female,No,Not Graduate,63892,14923,115788,1,Urban,1
47,Male,Yes,Graduate,22852,10868,367392,1,Rural,1
32,Female,No,Graduate,59754,15385,428513,1,Rural,1
57,Female,Yes,Graduate,83558,3433,353186,1,Rural,1
31,Male,Yes,Not Graduate,39391,20376,77898,1,Urban,1
24,Male,Yes,Graduate,57797,15561,144319,1,Semiurban,1
57,Female,No,Graduate,77504,38029,323983,1,Urban,1
36,Female,Yes,Graduate,60299,7712,327011,1,Urban,1
48,Female,Yes,Graduate,10842,27734,358443,1,Urban,1
36,Male,Yes,Graduate,75613,38611,221579,1,Urban,1
47,Female,Yes,Not Graduate,52207,34327,64918,1,Urban,1
54,Male,No,Graduate,72906,10716,235841,1,Urban,1
25,Male,Yes,Graduate,46458,11898,358515,1,Semiurban,1
57,Female,No,Not Graduate,67349,31056,206574,1,Urban,1
44,Male,Yes,Graduate,66236,19649,112191,1,Urban,1
46,Male,No,Graduate,47235,6364,395574,1,Urban,1
35,Male,No,Graduate,53663,1198,357705,0,Semiurban,0
53,Female,Yes,Graduate,35532,15422,94017,1,Semiurban,1
49,Female,Yes,Graduate,77360,19386,80681,0,Urban,1
42,Male,No,Graduate,12301,30487,150910,1,Urban,1
21,Male,Yes,Graduate,37318,16281,444512,0,Urban,1
51,Male,No,Not Graduate,71383,12367,237326,0,Semiurban,0
59,Female,No,Graduate,21015,13236,462898,0,Urban,0
52,Female,No,Graduate,91711,26432,492643,1,Urban,1
29,Female,Yes,Not Graduate,20486,28900,398508,1,Semiurban,0
28,Female,Yes,Graduate,39375,2390,119036,0,Urban,1
22,Female,Yes,Graduate,92971,3199,394320,1,Rural,1
53,Female,Yes,Graduate,60193,5259,257640,0,Urban,1
22,Female,Yes,Graduate,61759,17227,104829,0,Urban,1
44,Male,Yes,Graduate,94630,2035,252863,1,Urban,1
53,Female,No,Not Graduate,77359,16038,185715,0,Rural,0
42,Female,No,Graduate,73151,26593,444995,1,Semiurban,1
53,Female,Yes,Graduate,38473,9052,326656,0,Semiurban,0
38,Female,Yes,Graduate,68525,39306,97766,1,Rural,1
41,Female,No,Graduate,10677,36899,364717,0,Semiurban,0
48,Female,Yes,Graduate,76649,21717,132096,1,Urban,1
52,Male,Yes,Not Graduate,96910,17125,54562,1,Rural,1
51,Male,Yes,Graduate,53475,5442,164206,0,Rural,1
31,Female,Yes,Graduate,75846,26964,203981,1,Rural,1
34,Female,No,Graduate,29230,33099,237410,1,Semiurban,1
36,Female,No,Graduate,20869,38027,293570,1,Rural,0
57,Male,Yes,Graduate,57984,30883,441805,1,Rural,1
55,Male,Yes,Graduate,61983,6360,418196,1,Semiurban,1
49,Male,Yes,Graduate,96750,16631,387475,1,Semiurban,1
57,Male,Yes,Graduate,24017,34985,461046,1,Urban,1
46,Female,Yes,Graduate,17109,23378,455935,0,Urban,0
58,Male,Yes,Graduate,58104,1783,87114,1,Semiurban,1
42,Male,Yes,Graduate,97642,16741,250184,1,Rural,1
42,Female,Yes,Not Graduate,38116,22322,232712,1,Rural,1
30,Female,Yes,Graduate,87641,5796,484901,1,Urban,1
55,Female,No,Not Graduate,50264,20826,378108,1,Rural,1
27,Female,Yes,Not Graduate,15324,23145,421364,1,Urban,1
41,Male,Yes,Not Graduate,61400,35057,191984,1,Semiurban,1
30,Male,Yes,Graduate,39833,10832,55026,1,Urban,1
56,Female,Yes,Graduate,71979,15948,122615,1,Urban,1
29,Female,Yes,Not Graduate,33024,20186,124237,1,Semiurban,1
37,Female,Yes,Graduate,18168,7385,352247,0,Rural,0
45,Male,Yes,Graduate,52069,17611,70241,1,Rural,1
24,Male,No,Graduate,76230,24782,249378,1,Urban,1
45,Female,No,Not Graduate,27548,2505,125186,0,Semiurban,0
35,Male,Yes,Graduate,95160,15211,493005,1,Urban,1
53,Male,Yes,Not Graduate,10551,15709,332129,1,Semiurban,0
38,Female,No,Graduate,40681,8070,160355,1,Urban,1
27,Female,No,Graduate,26075,28593,449265,1,Urban,1
29,Female,No,Graduate,83947,26241,442486,0,Urban,0
32,Male,Yes,Graduate,29090,28505,201215,1,Rural,1
31,Female,Yes,Graduate,36936,30447,55320,1,Urban,1
40,Male,Yes,Graduate,69145,5461,272702,1,Urban,1
59,Male,Yes,Graduate,19238,35616,226513,1,Semiurban,1
59,Male,No,Graduate,21305,13155,446191,1,Urban,1
34,Male,No,Graduate,71706,29032,136085,0,Urban,1
55,Female,Yes,Graduate,16935,4842,348594,1,Urban,1
44,Female,Yes,Graduate,98891,6941,343968,1,Rural,1
48,Male,No,Graduate,85222,22130,298361,1,Semiurban,1
49,Male,No,Not Graduate,30994,32235,310943,1,Urban,1
37,Female,No,Graduate,94379,23598,443716,1,Semiurban,1
40,Male,No,Graduate,65018,37654,408272,1,Urban,1
26,Male,Yes,Graduate,42164,39606,169654,1,Urban,1
51,Male,Yes,Graduate,80248,3315,115406,1,Semiurban,1
42,Female,Yes,Graduate,93129,39181,186860,1,Urban,1
58,Female,Yes,Graduate,84154,28463,211741,1,Rural,1
35,Male,Yes,Not Graduate,32844,34636,195809,1,Urban,1
31,Female,No,Not Graduate,40911,38894,496377,1,Rural,1
45,Male,No,Graduate,45736,23772,463197,1,Urban,1
31,Female,No,Graduate,17482,37528,137758,1,Semiurban,1
29,Female,No,Graduate,36781,17310,141137,1,Urban,1
42,Female,Yes,Graduate,29789,6166,463851,1,Urban,1
43,Female,Yes,Not Graduate,92206,34972,294050,1,Urban,1
54,Female,No,Graduate,83166,17480,358256,1,Urban,1
23,Female,Yes,Not Graduate,36979,22424,317018,1,Rural,1
25,Female,No,Graduate,97359,34371,157260,1,Rural,1
44,Male,Yes,Graduate,49411,39349,74074,0,Urban,1
50,Male,No,Graduate,10317,12025,268726,0,Urban,0
30,Female,Yes,Graduate,32871,23184,351397,1,Rural,1
26,Male,No,Graduate,30152,32861,477605,1,Rural,1
55,Female,Yes,Graduate,42975,17761,208887,1,Rural,1
58,Female,Yes,Graduate,27879,2644,461312,1,Urban,1
28,Male,Yes,Graduate,13395,16400,219061,1,Urban,1
46,Male,No,Graduate,43687,33921,250570,1,Urban,1
56,Male,Yes,Graduate,94038,25939,367990,1,Urban,1
52,Male,Yes,Not Graduate,61057,5982,132896,0,Urban,1
43,Female,Yes,Graduate,53928,3985,58158,1,Rural,1
44,Male,Yes,Graduate,99879,7906,159950,0,Semiurban,1
56,Female,No,Not Graduate,48463,2801,337207,1,Rural,1
22,Male,Yes,Graduate,99749,32957,414997,1,Urban,1
29,Female,No,Not Graduate,64565,16731,467514,1,Urban,1
36,Female,Yes,Graduate,98478,31589,186348,0,Urban,1
31,Female,No,Not Graduate,22164,22574,430641,0,Rural,0
57,Female,No,Graduate,11713,29861,478055,1,Semiurban,0
27,Male,No,Graduate,90280,18943,482789,1,Urban,1
26,Female,Yes,Graduate,51532,31425,403480,0,Urban,1
24,Female,Yes,Graduate,22793,32463,65624,1,Urban,1
29,Female,Yes,Graduate,77764,28049,88424,1,Urban,1
50,Female,No,Graduate,30340,31067,104926,1,Urban,1
51,Female,Yes,Graduate,70607,23879,163949,1,Semiurban,1
24,Male,Yes,Graduate,92846,18082,59510,1,Rural,1
38,Female,No,Graduate,66950,9307,278258,0,Urban,0
36,Female,No,Graduate,84398,37937,380086,0,Rural,0
47,Female,Yes,Not Graduate,99343,909,429380,0,Urban,0
24,Male,No,Not Graduate,99551,30224,236197,1,Urban,1
30,Male,Yes,Graduate,82484,30367,441453,1,Semiurban,1
27,Male,No,Not Graduate,90137,10218,68946,1,Rural,1
54,Male,No,Graduate,88228,32240,192362,1,Semiurban,1
56,Male,Yes,Not Graduate,34168,39183,415270,0,Semiurban,0
39,Female,No,Not Graduate,44317,28420,317460,0,Semiurban,0
35,Female,Yes,Graduate,55677,9898,264800,1,Rural,1
45,Male,No,Graduate,37195,37861,78290,0,Semiurban,1
52,Female,No,Not Graduate,59681,5070,293378,1,Semiurban,1
42,Female,No,Not Graduate,11928,7925,450947,1,Urban,0
58,Male,Yes,Not Graduate,87354,14051,371248,1,Rural,1
34,Male,No,Graduate,43520,4281,50181,1,Urban,1
35,Female,Yes,Graduate,88818,10316,183821,1,Urban,1
35,Female,Yes,Not Graduate,37710,1618,148970,1,Urban,1
37,Female,No,Graduate,96923,27476,97727,1,Urban,1
39,Male,Yes,Graduate,26671,12672,193627,1,Semiurban,1
38,Male,Yes,Graduate,79178,9402,418615,1,Urban,1
44,Male,No,Graduate,77461,2975,127897,1,Semiurban,1
24,Male,Yes,Graduate,61354,22200,388290,1,Urban,1
36,Male,No,Graduate,29459,35094,206522,1,Urban,1
21,Male,Yes,Graduate,80373,12373,63459,1,Urban,1
36,Female,Yes,Graduate,39017,39231,328476,1,Urban,1
36,Female,Yes,Graduate,95590,4173,458831,1,Rural,1
39,Male,No,Not Graduate,97573,17690,202457,1,Urban,1
58,Male,Yes,Graduate,83226,36,51335,1,Rural,1
40,Male,No,Graduate,52544,9908,265647,1,Urban,1
49,Female,Yes,Graduate,33608,9568,333208,1,Rural,1
58,Female,Yes,Graduate,31623,17828,418043,1,Semiurban,1
39,Male,Yes,Graduate,60441,23663,464617,0,Rural,0
40,Female,Yes,Not Graduate,43182,23992,487453,0,Urban,0
54,Male,No,Not Graduate,40597,28039,395217,1,Urban,1
45,Female,Yes,Not Graduate,24407,13889,206835,1,Urban,1
34,Female,No,Graduate,14975,14849,113521,0,Semiurban,0
22,Male,No,Graduate,55153,10562,320156,0,Semiurban,0
33,Female,Yes,Not Graduate,98098,11467,437560,0,Semiurban,0
54,Female,No,Graduate,42657,29780,307111,0,Rural,0
22,Female,Yes,Not Graduate,25447,34775,379043,1,Semiurban,0
59,Female,Yes,Graduate,59552,28344,289964,1,Rural,1
58,Female,Yes,Graduate,47621,38768,305367,1,Urban,1
57,Female,No,Graduate,67115,31282,387027,1,Rural,1
24,Female,Yes,Not Graduate,59666,24941,414827,1,Urban,1
52,Female,No,Graduate,55354,17169,427680,1,Rural,1
55,Female,Yes,Graduate,22324,25736,399567,1,Rural,1
25,Male,Yes,Graduate,47041,450,376421,1,Semiurban,1
26,Female,Yes,Not Graduate,84627,9859,499816,0,Semiurban,0
48,Female,Yes,Graduate,79745,30282,457652,1,Rural,1
41,Male,Yes,Graduate,15602,8140,197463,1,Rural,1
51,Male,Yes,Graduate,79683,17435,148742,1,Rural,1
35,Male,No,Graduate,18245,5640,216437,1,Semiurban,1
45,Female,Yes,Graduate,21959,34495,164037,1,Semiurban,1
51,Male,No,Graduate,34006,2460,399178,0,Semiurban,0
56,Female,Yes,Graduate,98177,7966,402848,0,Urban,1
57,Female,Yes,Graduate,33593,35878,88737,1,Rural,1
29,Male,No,Not Graduate,75031,5588,362927,1,Rural,1
48,Male,Yes,Graduate,78102,33760,460470,1,Semiurban,1
43,Male,No,Graduate,85915,2621,459099,1,Rural,1
39,Female,No,Graduate,12633,35885,384633,1,Semiurban,0
56,Male,Yes,Graduate,32697,10316,77307,1,Urban,1
52,Male,No,Graduate,58611,10925,276067,1,Urban,1
